marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ALRA00ITA,EURA14,2007-01-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ALRA00ITA,EURA14,2007-01-16 11:59:00,0.00065,-0.00074,0.00479,0.00065,-0.00074,0.00479
ALRA00ITA,EURA14,2007-01-17 11:59:00,0.00159,0.00081,0.00054,0.00159,0.00081,0.00054
ALRA00ITA,EURA14,2007-01-18 11:59:00,0.00226,0.00107,-0.00245,0.00226,0.00107,-0.00245
ALRA00ITA,EURA14,2007-01-19 11:59:00,-0.004,0.00654,0.01366,-0.004,0.00654,0.01366
ALRA00ITA,EURA14,2007-01-20 11:59:00,0.00027,-0.00012,0.00395,0.00027,-0.00012,0.00395
ALRA00ITA,EURA14,2007-01-21 11:59:00,-0.00102,0.00138,-0.00118,-0.00102,0.00138,-0.00118
ALRA00ITA,EURA14,2007-01-22 11:59:00,-0.00321,-0.00141,-0.00226,-0.00321,-0.00141,-0.00226
ALRA00ITA,EURA14,2007-01-23 11:59:00,-0.00406,-0.00292,-0.00897,-0.00406,-0.00292,-0.00897
ALRA00ITA,EURA14,2007-01-24 11:59:00,-0.00393,-0.00349,-0.0084,-0.00393,-0.00349,-0.0084
ALRA00ITA,EURA14,2007-01-25 11:59:00,0.00046,0.0045,-0.01193,0.00046,0.0045,-0.01193
ALRA00ITA,EURA14,2007-01-26 11:59:00,-0.00049,0.00129,-0.00199,-0.00049,0.00129,-0.00199
ALRA00ITA,EURA14,2007-01-27 11:59:00,-0.00016,-0.00072,0.00135,-0.00016,-0.00072,0.00135
ALRA00ITA,EURA14,2007-01-28 11:59:00,-0.00119,0.00105,-0.00358,-0.00119,0.00105,-0.00358
ALRA00ITA,EURA14,2007-01-29 11:59:00,-0.00103,0.0007,0.00068,-0.00103,0.0007,0.00068
ALRA00ITA,EURA14,2007-01-30 11:59:00,0.00041,0.00089,-0.00073,0.00041,0.00089,-0.00073
ALRA00ITA,EURA14,2007-01-31 11:59:00,-0.00044,0.00046,-0.00018,-0.00044,0.00046,-0.00018
ALRA00ITA,EURA14,2007-02-01 11:59:00,-0.00182,0.00182,0.00115,-0.00182,0.00182,0.00115
ALRA00ITA,EURA14,2007-02-02 11:59:00,0.00035,0.0008,-0.00371,0.00035,0.0008,-0.00371
ALRA00ITA,EURA14,2007-02-03 11:59:00,0.00066,0.0009,-0.00114,0.00066,0.0009,-0.00114
ALRA00ITA,EURA14,2007-02-04 11:59:00,0.00034,0.0091,0.00564,0.00034,0.0091,0.00564
ALRA00ITA,EURA14,2007-02-05 11:59:00,-0.00076,0.00058,0.0018,-0.00076,0.00058,0.0018
ALRA00ITA,EURA14,2007-02-06 11:59:00,-0.00011,0.00129,0.00061,-0.00011,0.00129,0.00061
ALRA00ITA,EURA14,2007-02-07 11:59:00,0.00168,0.00205,0.00482,0.00168,0.00205,0.00482
ALRA00ITA,EURA14,2007-02-08 11:59:00,-0.0023,0.00061,-0.00043,-0.0023,0.00061,-0.00043
ALRA00ITA,EURA14,2007-02-09 11:59:00,0.00185,-0.0009,0.00323,0.00185,-0.0009,0.00323
ALRA00ITA,EURA14,2007-02-10 11:59:00,-0.00136,0.0008,0.00315,-0.00136,0.0008,0.00315
ALRA00ITA,EURA14,2007-02-11 11:59:00,-0.00138,0.00109,-9e-05,-0.00138,0.00109,-9e-05
ALRA00ITA,EURA14,2007-02-12 11:59:00,-0.00534,-0.00041,-0.00928,-0.00534,-0.00041,-0.00928
ALRA00ITA,EURA14,2007-02-13 11:59:00,-0.00037,0.00312,-0.0095,-0.00037,0.00312,-0.0095
ALRA00ITA,EURA14,2007-02-14 11:59:00,-0.00057,0.00137,-0.00584,-0.00057,0.00137,-0.00584
ALRA00ITA,EURA14,2007-02-15 11:59:00,-0.00085,0.0008,0.00521,-0.00085,0.0008,0.00521
ALRA00ITA,EURA14,2007-02-16 11:59:00,0.00244,0.00795,-0.00199,0.00244,0.00795,-0.00199
ALRA00ITA,EURA14,2007-02-17 11:59:00,-0.00047,0.00246,-0.00277,-0.00047,0.00246,-0.00277
ALRA00ITA,EURA14,2007-02-18 11:59:00,-0.00048,-0.00028,0.00581,-0.00048,-0.00028,0.00581
ALRA00ITA,EURA14,2007-02-19 11:59:00,-0.00027,0.00077,0.00367,-0.00027,0.00077,0.00367
ALRA00ITA,EURA14,2007-02-20 11:59:00,-0.00074,0.00227,0.00204,-0.00074,0.00227,0.00204
ALRA00ITA,EURA14,2007-02-21 11:59:00,-0.00137,0.00057,0.00029,-0.00137,0.00057,0.00029
ALRA00ITA,EURA14,2007-02-22 11:59:00,-0.00129,0.00201,-0.00016,-0.00129,0.00201,-0.00016
ALRA00ITA,EURA14,2007-02-23 11:59:00,-0.00106,0.00135,0.00163,-0.00106,0.00135,0.00163
ALRA00ITA,EURA14,2007-02-24 11:59:00,-0.00126,0.00329,-0.00375,-0.00126,0.00329,-0.00375
ALRA00ITA,EURA14,2007-02-25 11:59:00,0.00018,0.00204,-0.00366,0.00018,0.00204,-0.00366
ALRA00ITA,EURA14,2007-02-26 11:59:00,-0.00448,0.00195,-0.01934,-0.00448,0.00195,-0.01934
ALRA00ITA,EURA14,2007-02-27 11:59:00,0.00056,0.00479,-0.00068,0.00056,0.00479,-0.00068
ALRA00ITA,EURA14,2007-02-28 11:59:00,-0.00031,0.00651,-0.01217,-0.00031,0.00651,-0.01217
ALRA00ITA,EURA14,2007-03-01 11:59:00,-0.00308,0.00416,0.00335,-0.00308,0.00416,0.00335
ALRA00ITA,EURA14,2007-03-02 11:59:00,-0.00357,0.00556,-0.00776,-0.00357,0.00556,-0.00776
ALRA00ITA,EURA14,2007-03-03 11:59:00,-0.00213,0.00563,-0.00432,-0.00213,0.00563,-0.00432
ALRA00ITA,EURA14,2007-03-04 11:59:00,-0.0023,0.00292,-0.0028,-0.0023,0.00292,-0.0028
ALRA00ITA,EURA14,2007-03-05 11:59:00,-6e-05,0.00283,-0.00542,-6e-05,0.00283,-0.00542
ALRA00ITA,EURA14,2007-03-06 11:59:00,-0.00089,0.00155,-0.00458,-0.00089,0.00155,-0.00458
ALRA00ITA,EURA14,2007-03-07 11:59:00,0.00077,4e-05,-0.00018,0.00077,4e-05,-0.00018
ALRA00ITA,EURA14,2007-03-08 11:59:00,-0.00114,0.00316,0.00192,-0.00114,0.00316,0.00192
ALRA00ITA,EURA14,2007-03-09 11:59:00,-0.00101,0.00329,0.00111,-0.00101,0.00329,0.00111
ALRA00ITA,EURA14,2007-03-10 11:59:00,-0.00056,0.00357,0.00155,-0.00056,0.00357,0.00155
ALRA00ITA,EURA14,2007-03-11 11:59:00,-0.00101,0.00394,-0.00284,-0.00101,0.00394,-0.00284
ALRA00ITA,EURA14,2007-03-12 11:59:00,-0.00088,0.00337,-0.0047,-0.00088,0.00337,-0.0047
ALRA00ITA,EURA14,2007-03-13 11:59:00,-0.00172,0.00443,-0.00222,-0.00172,0.00443,-0.00222
ALRA00ITA,EURA14,2007-03-14 11:59:00,-0.00108,0.00362,-0.0038,-0.00108,0.00362,-0.0038
ALRA00ITA,EURA14,2007-03-15 11:59:00,-0.0004,0.00341,-0.00488,-0.0004,0.00341,-0.00488
ALRA00ITA,EURA14,2007-03-16 11:59:00,-0.00032,0.00292,-0.00294,-0.00032,0.00292,-0.00294
ALRA00ITA,EURA14,2007-03-17 11:59:00,-0.00093,0.002,-0.00074,-0.00093,0.002,-0.00074
ALRA00ITA,EURA14,2007-03-18 11:59:00,-0.00317,0.00026000000000000003,-0.008969999999999999,-0.00317,0.00026000000000000003,-0.008969999999999999
ALRA00ITA,EURA14,2007-03-19 11:59:00,-0.00541,-0.00148,-0.0172,-0.00541,-0.00148,-0.0172
ALRA00ITA,EURA14,2007-03-20 11:59:00,-0.00232,0.00197,-0.00483,-0.00232,0.00197,-0.00483
ALRA00ITA,EURA14,2007-03-21 11:59:00,-0.00012,0.00316,0.00478,-0.00012,0.00316,0.00478
ALRA00ITA,EURA14,2007-03-22 11:59:00,-0.00085,0.00321,0.00374,-0.00085,0.00321,0.00374
ALRA00ITA,EURA14,2007-03-23 11:59:00,-0.00205,0.00361,0.00531,-0.00205,0.00361,0.00531
ALRA00ITA,EURA14,2007-03-24 11:59:00,-0.00038,0.00407,0.00146,-0.00038,0.00407,0.00146
ALRA00ITA,EURA14,2007-03-25 11:59:00,-0.0001,0.00423,0.00302,-0.0001,0.00423,0.00302
ALRA00ITA,EURA14,2007-03-26 11:59:00,-0.00065,0.00446,-0.00502,-0.00065,0.00446,-0.00502
ALRA00ITA,EURA14,2007-03-27 11:59:00,-0.00155,0.00507,-0.00434,-0.00155,0.00507,-0.00434
ALRA00ITA,EURA14,2007-03-28 11:59:00,-0.00113,0.00468,-0.00445,-0.00113,0.00468,-0.00445
ALRA00ITA,EURA14,2007-03-29 11:59:00,-0.00076,0.00428,-0.0017,-0.00076,0.00428,-0.0017
ALRA00ITA,EURA14,2007-03-30 11:59:00,-0.00094,0.00435,-0.00435,-0.00094,0.00435,-0.00435
ALRA00ITA,EURA14,2007-03-31 11:59:00,-0.00243,0.00451,0.00051,-0.00243,0.00451,0.00051
ALRA00ITA,EURA14,2007-04-01 11:59:00,-0.0016,0.00449,-0.00649,-0.0016,0.00449,-0.00649
ALRA00ITA,EURA14,2007-04-02 11:59:00,-0.00014,0.00487,-0.00452,-0.00014,0.00487,-0.00452
ALRA00ITA,EURA14,2007-04-03 11:59:00,-0.00098,0.00319,0.00063,-0.00098,0.00319,0.00063
ALRA00ITA,EURA14,2007-04-04 11:59:00,-0.00091,0.00389,0.0086,-0.00091,0.00389,0.0086
ALRA00ITA,EURA14,2007-04-05 11:59:00,0.00073,0.00381,0.00257,0.00073,0.00381,0.00257
ALRA00ITA,EURA14,2007-04-06 11:59:00,-0.00133,0.0044,-0.00478,-0.00133,0.0044,-0.00478
ALRA00ITA,EURA14,2007-04-07 11:59:00,-0.0006,0.00232,-0.00367,-0.0006,0.00232,-0.00367
ALRA00ITA,EURA14,2007-04-08 11:59:00,-0.00105,0.0043,-0.00801,-0.00105,0.0043,-0.00801
ALRA00ITA,EURA14,2007-04-09 11:59:00,-0.00119,0.00507,-0.00705,-0.00119,0.00507,-0.00705
ALRA00ITA,EURA14,2007-04-10 11:59:00,-0.00166,0.00412,-0.00301,-0.00166,0.00412,-0.00301
ALRA00ITA,EURA14,2007-04-11 11:59:00,-0.00108,0.00446,-0.0026,-0.00108,0.00446,-0.0026
ALRA00ITA,EURA14,2007-04-12 11:59:00,-0.00147,0.00488,-0.00576,-0.00147,0.00488,-0.00576
ALRA00ITA,EURA14,2007-04-13 11:59:00,-0.00224,0.00499,-0.002,-0.00224,0.00499,-0.002
ALRA00ITA,EURA14,2007-04-14 11:59:00,-0.00348,0.00463,-0.00839,-0.00348,0.00463,-0.00839
ALRA00ITA,EURA14,2007-04-15 11:59:00,-0.00192,0.00338,-0.00192,-0.00192,0.00338,-0.00192
ALRA00ITA,EURA14,2007-04-16 11:59:00,-0.0005,0.00341,-0.00209,-0.0005,0.00341,-0.00209
ALRA00ITA,EURA14,2007-04-17 11:59:00,-0.00161,0.00408,-0.00357,-0.00161,0.00408,-0.00357
ALRA00ITA,EURA14,2007-04-18 11:59:00,-0.0017,0.00388,-0.00577,-0.0017,0.00388,-0.00577
ALRA00ITA,EURA14,2007-04-19 11:59:00,-0.00111,0.00457,-0.00145,-0.00111,0.00457,-0.00145
ALRA00ITA,EURA14,2007-04-20 11:59:00,-0.00412,0.00384,-0.00475,-0.00412,0.00384,-0.00475
ALRA00ITA,EURA14,2007-04-21 11:59:00,0.00041,0.00447,-0.00287,0.00041,0.00447,-0.00287
ALRA00ITA,EURA14,2007-04-22 11:59:00,-0.00074,0.00379,0.00502,-0.00074,0.00379,0.00502
ALRA00ITA,EURA14,2007-04-23 11:59:00,-0.00131,0.00575,-0.00503,-0.00131,0.00575,-0.00503
ALRA00ITA,EURA14,2007-04-24 11:59:00,-0.00164,0.00432,-0.00597,-0.00164,0.00432,-0.00597
ALRA00ITA,EURA14,2007-04-25 11:59:00,-0.0026,0.00402,-0.00285,-0.0026,0.00402,-0.00285
ALRA00ITA,EURA14,2007-04-26 11:59:00,-0.00065,0.00321,-0.0016,-0.00065,0.00321,-0.0016
ALRA00ITA,EURA14,2007-04-27 11:59:00,0.00039,0.00414,-0.0024,0.00039,0.00414,-0.0024
ALRA00ITA,EURA14,2007-04-28 11:59:00,-0.00154,0.00431,0.0005,-0.00154,0.00431,0.0005
ALRA00ITA,EURA14,2007-04-29 11:59:00,-0.00153,0.00525,-0.00647,-0.00153,0.00525,-0.00647
ALRA00ITA,EURA14,2007-04-30 11:59:00,-0.00058,0.00433,0.00211,-0.00058,0.00433,0.00211
ALRA00ITA,EURA14,2007-05-01 11:59:00,-0.0015,0.0037,0.00205,-0.0015,0.0037,0.00205
ALRA00ITA,EURA14,2007-05-02 11:59:00,-0.0024,0.00278,-0.00085,-0.0024,0.00278,-0.00085
ALRA00ITA,EURA14,2007-05-03 11:59:00,0.00103,0.00489,-0.00179,0.00103,0.00489,-0.00179
ALRA00ITA,EURA14,2007-05-04 11:59:00,0.00019,0.00261,0.00312,0.00019,0.00261,0.00312
ALRA00ITA,EURA14,2007-05-05 11:59:00,-0.00096,0.00432,0.00277,-0.00096,0.00432,0.00277
ALRA00ITA,EURA14,2007-05-06 11:59:00,-0.00083,0.00378,-0.00029,-0.00083,0.00378,-0.00029
ALRA00ITA,EURA14,2007-05-07 11:59:00,0.0,0.0017,-0.00194,0.0,0.0017,-0.00194
ALRA00ITA,EURA14,2007-05-08 11:59:00,-0.00257,0.00482,-0.004,-0.00257,0.00482,-0.004
ALRA00ITA,EURA14,2007-05-09 11:59:00,-0.00142,0.00501,-0.00386,-0.00142,0.00501,-0.00386
ALRA00ITA,EURA14,2007-05-10 11:59:00,-0.0012,0.00395,-0.00112,-0.0012,0.00395,-0.00112
ALRA00ITA,EURA14,2007-05-11 11:59:00,-0.00435,0.00226,0.00213,-0.00435,0.00226,0.00213
ALRA00ITA,EURA14,2007-05-12 11:59:00,-0.00488,0.00168,-0.0047,-0.00488,0.00168,-0.0047
ALRA00ITA,EURA14,2007-05-13 11:59:00,-0.00063,0.00171,0.00166,-0.00063,0.00171,0.00166
ALRA00ITA,EURA14,2007-05-14 11:59:00,-0.00367,0.00435,-0.00265,-0.00367,0.00435,-0.00265
ALRA00ITA,EURA14,2007-05-15 11:59:00,-0.00245,0.00078,-0.00215,-0.00245,0.00078,-0.00215
ALRA00ITA,EURA14,2007-05-16 11:59:00,-0.00061,0.00315,0.00269,-0.00061,0.00315,0.00269
ALRA00ITA,EURA14,2007-05-17 11:59:00,-0.00218,0.00388,0.00374,-0.00218,0.00388,0.00374
ALRA00ITA,EURA14,2007-05-18 11:59:00,-0.00094,0.00121,0.00346,-0.00094,0.00121,0.00346
ALRA00ITA,EURA14,2007-05-19 11:59:00,-0.00254,0.00183,0.00073,-0.00254,0.00183,0.00073
ALRA00ITA,EURA14,2007-05-20 11:59:00,-0.00171,0.00366,-0.00452,-0.00171,0.00366,-0.00452
ALRA00ITA,EURA14,2007-05-21 11:59:00,-0.00144,0.00454,-0.00184,-0.00144,0.00454,-0.00184
ALRA00ITA,EURA14,2007-05-22 11:59:00,-0.00297,0.00041,-0.00749,-0.00297,0.00041,-0.00749
ALRA00ITA,EURA14,2007-05-23 11:59:00,-0.00025,0.00138,0.01144,-0.00025,0.00138,0.01144
ALRA00ITA,EURA14,2007-05-24 11:59:00,-0.00026,0.00239,-0.00076,-0.00026,0.00239,-0.00076
ALRA00ITA,EURA14,2007-05-25 11:59:00,0.00143,0.0092,-0.00831,0.00143,0.0092,-0.00831
ALRA00ITA,EURA14,2007-05-26 11:59:00,0.00123,0.00225,0.01563,0.00123,0.00225,0.01563
ALRA00ITA,EURA14,2007-05-27 11:59:00,-0.00249,0.00419,0.00026,-0.00249,0.00419,0.00026
ALRA00ITA,EURA14,2007-05-28 11:59:00,-0.01201,-0.00251,-0.00662,-0.01201,-0.00251,-0.00662
ALRA00ITA,EURA14,2007-05-29 11:59:00,-0.00471,0.00237,-0.01155,-0.00471,0.00237,-0.01155
ALRA00ITA,EURA14,2007-05-30 11:59:00,-0.00114,0.00342,0.00101,-0.00114,0.00342,0.00101
ALRA00ITA,EURA14,2007-05-31 11:59:00,-0.00263,0.00147,0.00166,-0.00263,0.00147,0.00166
ALRA00ITA,EURA14,2007-06-01 11:59:00,0.00149,0.00549,0.00021,0.00149,0.00549,0.00021
ALRA00ITA,EURA14,2007-06-02 11:59:00,-0.0006,0.00578,-0.00302,-0.0006,0.00578,-0.00302
ALRA00ITA,EURA14,2007-06-03 11:59:00,-0.0019,0.00473,0.00435,-0.0019,0.00473,0.00435
ALRA00ITA,EURA14,2007-06-04 11:59:00,-0.00146,0.00421,0.00072,-0.00146,0.00421,0.00072
ALRA00ITA,EURA14,2007-06-05 11:59:00,-0.00329,0.00283,0.00748,-0.00329,0.00283,0.00748
ALRA00ITA,EURA14,2007-06-06 11:59:00,-0.00266,0.00306,0.00838,-0.00266,0.00306,0.00838
ALRA00ITA,EURA14,2007-06-07 11:59:00,-0.00203,0.00439,0.00165,-0.00203,0.00439,0.00165
ALRA00ITA,EURA14,2007-06-08 11:59:00,-0.0009,0.00378,-0.00103,-0.0009,0.00378,-0.00103
ALRA00ITA,EURA14,2007-06-09 11:59:00,0.00094,0.00259,-0.00129,0.00094,0.00259,-0.00129
ALRA00ITA,EURA14,2007-06-10 11:59:00,-0.00154,0.00086,-0.00402,-0.00154,0.00086,-0.00402
ALRA00ITA,EURA14,2007-06-11 11:59:00,-0.00853,0.00207,0.00775,-0.00853,0.00207,0.00775
ALRA00ITA,EURA14,2007-06-12 11:59:00,-0.00331,0.00625,0.00051,-0.00331,0.00625,0.00051
ALRA00ITA,EURA14,2007-06-13 11:59:00,-0.00252,-0.00054,-0.00408,-0.00252,-0.00054,-0.00408
ALRA00ITA,EURA14,2007-06-14 11:59:00,-0.00418,-0.00165,0.0031,-0.00418,-0.00165,0.0031
ALRA00ITA,EURA14,2007-06-15 11:59:00,0.00026,0.00727,-0.01027,0.00026,0.00727,-0.01027
ALRA00ITA,EURA14,2007-06-16 11:59:00,-0.00193,0.00398,0.00119,-0.00193,0.00398,0.00119
ALRA00ITA,EURA14,2007-06-17 11:59:00,-0.002,0.00308,-0.00109,-0.002,0.00308,-0.00109
ALRA00ITA,EURA14,2007-06-18 11:59:00,-0.00426,0.00393,-0.00637,-0.00426,0.00393,-0.00637
ALRA00ITA,EURA14,2007-06-19 11:59:00,-0.00068,0.00156,0.01067,-0.00068,0.00156,0.01067
ALRA00ITA,EURA14,2007-06-20 11:59:00,-0.00159,0.0022,0.00296,-0.00159,0.0022,0.00296
ALRA00ITA,EURA14,2007-06-21 11:59:00,-0.00439,0.00334,-0.00493,-0.00439,0.00334,-0.00493
ALRA00ITA,EURA14,2007-06-22 11:59:00,-0.00641,-0.001,0.00302,-0.00641,-0.001,0.00302
ALRA00ITA,EURA14,2007-06-23 11:59:00,-0.00868,0.00538,-0.00825,-0.00868,0.00538,-0.00825
ALRA00ITA,EURA14,2007-06-24 11:59:00,-0.00565,0.00045,-0.0011,-0.00565,0.00045,-0.0011
ALRA00ITA,EURA14,2007-06-25 11:59:00,-0.00812,-0.00119,-0.014,-0.00812,-0.00119,-0.014
ALRA00ITA,EURA14,2007-06-26 11:59:00,-0.01024,-0.00167,-0.01276,-0.01024,-0.00167,-0.01276
ALRA00ITA,EURA14,2007-06-27 11:59:00,-0.0022,0.00517,0.00412,-0.0022,0.00517,0.00412
ALRA00ITA,EURA14,2007-06-28 11:59:00,-0.0013,0.00289,0.00457,-0.0013,0.00289,0.00457
ALRA00ITA,EURA14,2007-06-29 11:59:00,-0.00093,0.00338,0.00571,-0.00093,0.00338,0.00571
ALRA00ITA,EURA14,2007-06-30 11:59:00,-0.00458,-0.00022,0.0045,-0.00458,-0.00022,0.0045
ALRA00ITA,EURA14,2007-07-01 11:59:00,-0.00585,6e-05,0.00365,-0.00585,6e-05,0.00365
ALRA00ITA,EURA14,2007-07-02 11:59:00,-0.00301,0.00727,0.00397,-0.00301,0.00727,0.00397
ALRA00ITA,EURA14,2007-07-03 11:59:00,-0.00373,0.00576,-0.00299,-0.00373,0.00576,-0.00299
ALRA00ITA,EURA14,2007-07-04 11:59:00,-0.0075,0.00507,-0.00392,-0.0075,0.00507,-0.00392
ALRA00ITA,EURA14,2007-07-05 11:59:00,-0.00273,0.00319,0.00085,-0.00273,0.00319,0.00085
ALRA00ITA,EURA14,2007-07-06 11:59:00,-0.00327,-0.00033,0.0064,-0.00327,-0.00033,0.0064
ALRA00ITA,EURA14,2007-07-07 11:59:00,-0.00086,0.00154,-0.00073,-0.00086,0.00154,-0.00073
ALRA00ITA,EURA14,2007-07-08 11:59:00,-0.00206,0.00326,-0.00441,-0.00206,0.00326,-0.00441
ALRA00ITA,EURA14,2007-07-09 11:59:00,-0.0007,0.00412,0.00388,-0.0007,0.00412,0.00388
ALRA00ITA,EURA14,2007-07-10 11:59:00,-0.00596,-0.00119,-0.0089,-0.00596,-0.00119,-0.0089
ALRA00ITA,EURA14,2007-07-11 11:59:00,-0.00413,0.00026,0.00306,-0.00413,0.00026,0.00306
ALRA00ITA,EURA14,2007-07-12 11:59:00,-0.00351,0.00361,-0.00223,-0.00351,0.00361,-0.00223
ALRA00ITA,EURA14,2007-07-13 11:59:00,-0.00249,0.0038,-0.00411,-0.00249,0.0038,-0.00411
ALRA00ITA,EURA14,2007-07-14 11:59:00,-0.00469,0.0046,-0.00799,-0.00469,0.0046,-0.00799
ALRA00ITA,EURA14,2007-07-15 11:59:00,-0.00326,0.00465,-0.00959,-0.00326,0.00465,-0.00959
ALRA00ITA,EURA14,2007-07-16 11:59:00,-0.00239,0.00331,-0.00784,-0.00239,0.00331,-0.00784
ALRA00ITA,EURA14,2007-07-17 11:59:00,-0.00204,0.00497,-0.00772,-0.00204,0.00497,-0.00772
ALRA00ITA,EURA14,2007-07-18 11:59:00,-0.00286,0.00443,-0.0017,-0.00286,0.00443,-0.0017
ALRA00ITA,EURA14,2007-07-19 11:59:00,-0.00312,0.00277,0.002,-0.00312,0.00277,0.002
ALRA00ITA,EURA14,2007-07-20 11:59:00,-0.00415,0.0039,-0.00223,-0.00415,0.0039,-0.00223
ALRA00ITA,EURA14,2007-07-21 11:59:00,-0.00183,0.00324,0.00058,-0.00183,0.00324,0.00058
ALRA00ITA,EURA14,2007-07-22 11:59:00,-0.0143,0.00199,-0.01935,-0.0143,0.00199,-0.01935
ALRA00ITA,EURA14,2007-07-23 11:59:00,-0.00992,0.0012,-0.0155,-0.00992,0.0012,-0.0155
ALRA00ITA,EURA14,2007-07-24 11:59:00,-0.01639,-0.00137,-0.01217,-0.01639,-0.00137,-0.01217
ALRA00ITA,EURA14,2007-07-25 11:59:00,-0.00459,0.00169,-0.00175,-0.00459,0.00169,-0.00175
ALRA00ITA,EURA14,2007-07-26 11:59:00,-0.00461,0.00389,0.00066,-0.00461,0.00389,0.00066
ALRA00ITA,EURA14,2007-07-27 11:59:00,-0.0034,0.00329,0.0053,-0.0034,0.00329,0.0053
ALRA00ITA,EURA14,2007-07-28 11:59:00,-0.00603,0.00518,-0.0003,-0.00603,0.00518,-0.0003
ALRA00ITA,EURA14,2007-07-29 11:59:00,-0.00382,0.00275,-0.00127,-0.00382,0.00275,-0.00127
ALRA00ITA,EURA14,2007-07-30 11:59:00,-0.0048,0.00274,0.01163,-0.0048,0.00274,0.01163
ALRA00ITA,EURA14,2007-07-31 11:59:00,-0.00245,0.0058,0.0056,-0.00245,0.0058,0.0056
ALRA00ITA,EURA14,2007-08-01 11:59:00,-0.00406,0.00299,-0.0001,-0.00406,0.00299,-0.0001
ALRA00ITA,EURA14,2007-08-02 11:59:00,-0.00451,0.00425,-0.00038,-0.00451,0.00425,-0.00038
ALRA00ITA,EURA14,2007-08-03 11:59:00,-0.0033,0.0079,-0.00477,-0.0033,0.0079,-0.00477
ALRA00ITA,EURA14,2007-08-04 11:59:00,-0.00379,0.00446,-0.00526,-0.00379,0.00446,-0.00526
ALRA00ITA,EURA14,2007-08-05 11:59:00,-0.00586,-0.00197,0.00293,-0.00586,-0.00197,0.00293
ALRA00ITA,EURA14,2007-08-06 11:59:00,-0.00393,0.00224,0.00205,-0.00393,0.00224,0.00205
ALRA00ITA,EURA14,2007-08-07 11:59:00,-0.00306,0.00046,0.00997,-0.00306,0.00046,0.00997
ALRA00ITA,EURA14,2007-08-08 11:59:00,-0.00391,0.00284,0.02484,-0.00391,0.00284,0.02484
ALRA00ITA,EURA14,2007-08-09 11:59:00,-0.00339,0.0077,0.00633,-0.00339,0.0077,0.00633
ALRA00ITA,EURA14,2007-08-10 11:59:00,-0.00469,0.00629,-0.00335,-0.00469,0.00629,-0.00335
ALRA00ITA,EURA14,2007-08-11 11:59:00,-0.00431,0.00678,-0.00652,-0.00431,0.00678,-0.00652
ALRA00ITA,EURA14,2007-08-12 11:59:00,-0.00408,0.00179,0.00432,-0.00408,0.00179,0.00432
ALRA00ITA,EURA14,2007-08-13 11:59:00,-0.00267,0.00485,0.0059,-0.00267,0.00485,0.0059
ALRA00ITA,EURA14,2007-08-14 11:59:00,-0.00408,0.00148,-0.00626,-0.00408,0.00148,-0.00626
ALRA00ITA,EURA14,2007-08-15 11:59:00,-0.00399,0.00336,0.00671,-0.00399,0.00336,0.00671
ALRA00ITA,EURA14,2007-08-16 11:59:00,-0.00725,0.00514,-0.0014,-0.00725,0.00514,-0.0014
ALRA00ITA,EURA14,2007-08-17 11:59:00,-0.00404,0.0032,-0.00136,-0.00404,0.0032,-0.00136
ALRA00ITA,EURA14,2007-08-18 11:59:00,-0.00239,0.00308,-0.00234,-0.00239,0.00308,-0.00234
ALRA00ITA,EURA14,2007-08-19 11:59:00,-0.00132,0.00316,0.00475,-0.00132,0.00316,0.00475
ALRA00ITA,EURA14,2007-08-20 11:59:00,-0.00739,0.00703,0.00113,-0.00739,0.00703,0.00113
ALRA00ITA,EURA14,2007-08-21 11:59:00,-0.01191,-0.00074,-0.00542,-0.01191,-0.00074,-0.00542
ALRA00ITA,EURA14,2007-08-22 11:59:00,-0.01497,-0.00345,0.00247,-0.01497,-0.00345,0.00247
ALRA00ITA,EURA14,2007-08-23 11:59:00,-0.00826,0.00364,-0.00952,-0.00826,0.00364,-0.00952
ALRA00ITA,EURA14,2007-08-24 11:59:00,-0.00255,0.00461,3e-05,-0.00255,0.00461,3e-05
ALRA00ITA,EURA14,2007-08-25 11:59:00,-0.00274,0.00401,-0.00288,-0.00274,0.00401,-0.00288
ALRA00ITA,EURA14,2007-08-26 11:59:00,-0.00545,0.00066,0.01398,-0.00545,0.00066,0.01398
ALRA00ITA,EURA14,2007-08-27 11:59:00,-0.0078,-0.00227,-0.00172,-0.0078,-0.00227,-0.00172
ALRA00ITA,EURA14,2007-08-28 11:59:00,-0.00609,0.00536,-0.00016,-0.00609,0.00536,-0.00016
ALRA00ITA,EURA14,2007-08-29 11:59:00,-0.0028,0.00547,-0.00193,-0.0028,0.00547,-0.00193
ALRA00ITA,EURA14,2007-08-30 11:59:00,-0.01092,0.00096,-0.00965,-0.01092,0.00096,-0.00965
ALRA00ITA,EURA14,2007-08-31 11:59:00,-0.00851,0.00149,-0.00602,-0.00851,0.00149,-0.00602
ALRA00ITA,EURA14,2007-09-01 11:59:00,-0.00566,0.00647,0.00166,-0.00566,0.00647,0.00166
ALRA00ITA,EURA14,2007-09-02 11:59:00,-0.0048,0.00425,0.00798,-0.0048,0.00425,0.00798
ALRA00ITA,EURA14,2007-09-03 11:59:00,-0.00544,0.00527,0.00948,-0.00544,0.00527,0.00948
